0,1,2,3,4,5,6
224,"I3 - 3,60 GHZ",B85M-D3H,500 GB - MECANICO,4 Gb,B,WINDOWS 10 - LITE
225,"I3 - 3,70 GHZ",H81M-H,500 GB - MECANICO,4 Gb,B,WINDOWS 10 - LITE
226,"PENTIUM 4  3,00 GHZ",P4M800CE-8237,110 GB - MECANICO,2 Gb,M,WINDOWS 10 - LITE
227,"I3 - 3,10 GHZ",H61M-S1,500 GB - MECANICO,2 Gb,B,WINDOWS 10 - LITE
228,"I3 - 3,60 GHZ",H310CM-HDV,300 GB - MECANICO,4 Gb,B,WINDOWS 10 - LITE
229,"I3 - 3,40 GHZ",H81H3-M4,1 TB - MECANICO,4 Gb,B,WINDOWS 7 - 64 BIT
230,"I3 -  2,93 GHZ",dh55tc,300 GB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
232,"I3 - 3,70 GHZ",H81M-H,500 GB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
233,"I5 - 3,20 GHZ",H81M-H,300 GB - MECANICO,4 Gb,B,WINDOWS 8.1 - 64 BIT
234,"2 QUAD  2,33 GHZ",G41MT-S2,120GB - MECANICO,2 Gb,M,WINDOWS 10 - LITE
235,"I5 - 3,00 GHZ",H110M-H-CF,320 GB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
237,"I3 -  2,93 GHZ",dh55tc,240 GB - SOLIDO,2 Gb,B,WINDOWS 10 - LITE
238,"PENTIUM 4  3,00 GHZ",H81M-H,500 GB - MECANICO,4 Gb,M,S/VALOR
239,"I3 - 3,70 GHZ",H81M-H,500 GB - MECANICO,4 Gb,B,S/VALOR
240,"I3 - 3,40 GHZ",H81H3-M4,1 TB - MECANICO,4 Gb,B,S/VALOR
241,"2 QUAD  2,33 GHZ",P5KPL-CM,320 GB - MECANICO,2 Gb,M,S/VALOR
242,"2 QUAD  2,33 GHZ",P5KPL-CM,320 GB - MECANICO,2 Gb,M,S/VALOR
243,"2 QUAD  2,33 GHZ",P5KPL-CM,320 GB - MECANICO,2 Gb,M,S/VALOR
244,"I3 - 3,70 GHZ",H81M-H,500 GB - MECANICO,4 Gb,B,S/VALOR
245,"2 QUAD  2,33 GHZ",P5KPL-CM,320 GB - MECANICO,2 Gb,M,S/VALOR
246,"I3 -  2,93 GHZ",dh55tc,320 GB - MECANICO,2 Gb,B,S/VALOR
247,"2 QUAD  2,33 GHZ",P5KPL-CM,1 TB - MECANICO,2 Gb,M,S/VALOR
248,"I3 -  2,93 GHZ",dh55tc,500 GB - MECANICO,4 Gb,M,S/VALOR
249,"I3 - 3,70 GHZ",H81M-H,500 GB - MECANICO,4 Gb,B,S/VALOR
250,"I3 -  2,93 GHZ",dh55tc,320 GB - MECANICO,2 Gb,B,S/VALOR
251,"2 DUO  3,00 GHZ",DG31PR,320 GB - MECANICO,1 Gb,M,S/VALOR
252,"I7 - 3,60 GHZ",H110M-H,1 TB - MECANICO,8 Gb,EX,WINDOWS 10 - 64 BIT
253,"I7 - 3,60 GHZ",H110M-H,1 TB - MECANICO,8 Gb,EX,WINDOWS 10 - 64 BIT
254,"PENTIUM DUAL 3,20 GHZ",OFR6W-H,150 GB - MECANICO,2 Gb,M,WINDOWS 10 - LITE
255,"I3 - 3,70 GHZ",H81M-H,500 GB - MECANICO,4 Gb,B,S/VALOR
256,"2 QUAD  2,33 GHZ",P5KPL-CM,320 GB - MECANICO,2 Gb,M,S/VALOR
257,"2 QUAD  2,33 GHZ",P5KPL-CM,320 GB - MECANICO,2 Gb,M,S/VALOR
258,"2 QUAD  2,33 GHZ",P5KPL-CM,320 GB - MECANICO,2 Gb,M,S/VALOR
259,"I7 - 3,60 GHZ",H110M-H,1 TB - MECANICO,8 Gb,EX,WINDOWS 10 - 64 BIT
260,"2 DUO  2,53 GHZ",DG31PR,300 GB - MECANICO,2 Gb,M,WINDOWS 10 - LITE
261,"2 QUAD  2,33 GHZ",P5KPL-CM,320 GB - MECANICO,2 Gb,M,S/VALOR
262,"I3 -  2,93 GHZ",dh55tc,320 GB - MECANICO,2 Gb,B,S/VALOR
263,"I3 -  2,93 GHZ",dh55tc,320 GB - MECANICO,2 Gb,B,S/VALOR
264,"I3 - 3,70 GHZ",H81M-H,500 GB - MECANICO,4 Gb,B,S/VALOR
265,"I3 -  2,93 GHZ",dh55tc,320 GB - MECANICO,2 Gb,B,S/VALOR
266,"I3 - 3,70 GHZ",H81M-H,500 GB - MECANICO,4 Gb,B,S/VALOR
267,"I3 -  2,93 GHZ",dh55tc,320 GB - MECANICO,2 Gb,B,S/VALOR
268,"I3 - 3,70 GHZ",H81M-H,500 GB - MECANICO,4 Gb,B,S/VALOR
269,"I3 -  2,93 GHZ",dh55tc,320 GB - MECANICO,2 Gb,B,S/VALOR
270,"I3 -  2,93 GHZ",dh55tc,320 GB - MECANICO,2 Gb,B,S/VALOR
271,"I3 - 3,70 GHZ",H81M-H,500 GB - MECANICO,4 Gb,B,WINDOWS 8.1 - 64 BIT
272,"I7 - 3,20 GHZ",H310M-H,320 GB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
274,"I5 - 3,00 GHZ",H110M-H,300 GB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
277,"I3 -  2,93 GHZ",H81M-H,500 GB - MECANICO,4 Gb,B,WINDOWS 8.1 - 64 BIT
278,"I5 - 3,00 GHZ",PRIME H110M-P,1 TB - MECANICO,8 Gb,EX,WINDOWS 10 - 64 BIT
279,"I5 - 3,00 GHZ",PRIME H110M-P,1 TB - MECANICO,8 Gb,EX,WINDOWS 8.1 - 64 BIT
280,"I7 - 3,60 GHZ",H110M-H,1 TB - MECANICO,8 Gb,EX,WINDOWS 10 - 64 BIT
281,"I3 - 3,70 GHZ",H81M-H,500 GB - MECANICO,4 Gb,B,S/VALOR
282,"I7 - 3,60 GHZ",H110M-PRO-VH-PLUS MSI,1 TB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
